,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
835,25263,36.0,3.3,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.52024593147
836,1717,23.0,4.5,Fog,High,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.52024593147
837,13614,36.0,4.5,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.52024593147
838,4021,37.0,3.7,Cloudy,Low,1,Meal,motorcycle,1.0,No,Urban,33,20002.52024593147
839,951,20.0,4.6,Sunny,Medium,2,Meal,motorcycle,1.0,No,Urban,14,20002.52024593147
840,1446,37.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.52024593147
841,24382,38.0,4.6,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,26,20002.52024593147
842,11807,22.0,5.0,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24,20002.52024593147
843,14278,38.0,4.7,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.52024593147
844,2180,35.0,3.8,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,33,20002.52024593147
845,26477,32.0,3.8,Stormy,Jam,1,Meal,scooter,1.0,Yes,Metropolitian,43,20002.52024593147
846,23346,37.0,3.7,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,32,20002.52024593147
847,34736,35.0,4.8,Stormy,Medium,0,Drinks,motorcycle,,No,Metropolitian,42,20002.52024593147
848,7250,32.0,5.0,Sunny,Low,2,Meal,electric_scooter,0.0,No,,10,20002.520245898402
849,13695,24.0,4.8,Stormy,Jam,2,Snack,scooter,0.0,No,Metropolitian,19,20002.520245898402
850,15273,28.0,4.8,Fog,High,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.520245898402
851,8398,36.0,4.6,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,15,20002.520245898402
852,4955,26.0,5.0,Windy,High,2,Snack,motorcycle,1.0,No,Urban,20,20002.520245898402
853,24645,38.0,4.1,Fog,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,40,20002.520245898402
854,42108,27.0,5.0,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,17,20002.520245898402
855,27184,38.0,4.5,Fog,High,0,Snack,motorcycle,1.0,No,Urban,27,20002.520245898402
856,26647,25.0,4.9,Sandstorms,Medium,1,Meal,scooter,0.0,No,Metropolitian,15,20002.520245898402
857,23410,33.0,4.1,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,35,20002.520245898402
858,779,21.0,4.9,Windy,Medium,2,Snack,scooter,0.0,No,,24,20002.520245898402
859,19367,33.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520245898402
860,23105,28.0,4.5,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,23,20002.520245846186
861,22930,23.0,4.9,Cloudy,High,0,Snack,motorcycle,0.0,No,Metropolitian,26,20002.520245846186
862,25466,25.0,4.8,Cloudy,High,2,Buffet,scooter,1.0,No,Metropolitian,30,20002.520245846186
863,28157,24.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,No,,16,20002.520245846186
864,14835,35.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,49,20002.520245846186
865,36228,34.0,4.6,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,29,20002.520245846186
866,8475,34.0,4.9,Sunny,Low,1,Meal,scooter,1.0,No,Urban,13,20002.520245846186
867,37737,27.0,4.6,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,29,20002.520245846186
868,25607,33.0,4.8,Stormy,Jam,2,Meal,scooter,0.0,No,Metropolitian,29,20002.520245846186
869,18853,24.0,4.5,Windy,Low,1,Snack,motorcycle,0.0,No,Urban,10,20002.520245846186
870,34755,29.0,4.6,Windy,Medium,1,Meal,scooter,0.0,No,Urban,26,20002.520245846186
871,16918,36.0,4.8,Stormy,Medium,1,Snack,scooter,1.0,No,Urban,22,20002.520245846186
872,44368,25.0,4.7,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.52024575722
873,16435,20.0,4.8,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.52024575722
874,7793,22.0,4.9,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,19,20002.52024575722
875,977,31.0,4.8,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.520245747077
876,12586,37.0,4.8,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520245747066
877,35019,33.0,4.8,Windy,Low,2,Meal,scooter,1.0,No,Metropolitian,20,20002.520245747066
878,36689,34.0,4.9,Sandstorms,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,20002.520245727712
879,28465,32.0,4.3,Fog,Jam,1,Buffet,scooter,1.0,Yes,Metropolitian,49,20002.520245727712
880,11081,30.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.520245727435
881,10575,26.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.52024572705
882,23006,28.0,4.6,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,37,20002.520245725147
883,11483,27.0,4.7,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,23,20002.520245725147
884,20339,25.0,4.8,Sandstorms,Low,2,Snack,scooter,0.0,No,Metropolitian,10,20002.520245725147
885,11756,27.0,4.6,Sunny,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520245722764
886,31176,25.0,4.8,Sunny,Medium,2,Drinks,scooter,1.0,No,Metropolitian,16,20002.520245722764
887,40104,24.0,4.9,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,14,20002.520245722764
888,25445,24.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.520245722764
889,30773,33.0,3.6,Windy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,35,20002.520245720472
890,9591,32.0,4.9,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,29,20002.520245720472
891,28254,24.0,5.0,Stormy,Low,2,Meal,scooter,0.0,No,Urban,15,20002.520245710813
892,29115,36.0,4.6,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,28,20002.520245710653
893,36245,,,,,3,Drinks,electric_scooter,1.0,No,Metropolitian,26,20002.520245710653
894,29434,35.0,4.0,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Urban,37,20002.520245710653
895,12283,32.0,4.5,Fog,Low,1,Buffet,scooter,1.0,No,Urban,31,20002.520245710337
896,36369,33.0,,Fog,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,35,20002.520245710337
897,34176,26.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.52024570941
898,33506,36.0,4.3,Sandstorms,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,37,20002.52024570941
899,20790,28.0,4.8,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,13,20002.52024570941
900,10463,22.0,4.5,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,21,20002.520245704258
901,30786,32.0,4.9,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.520245704258
902,21973,20.0,5.0,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520245704258
903,3761,24.0,4.6,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520245697346
904,35725,28.0,4.6,Sunny,Jam,2,Buffet,scooter,0.0,No,Metropolitian,20,20002.52024569563
905,40699,37.0,5.0,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,21,20002.52024569563
906,2363,28.0,4.7,Sandstorms,Jam,2,Drinks,scooter,0.0,No,Metropolitian,21,20002.52024569563
907,241,,,,,3,Buffet,motorcycle,1.0,Yes,Urban,43,20002.520245682
908,22371,36.0,4.3,Windy,Medium,2,Snack,scooter,0.0,No,Metropolitian,33,20002.520245682
909,24775,29.0,4.6,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,19,20002.520245681528
910,32822,26.0,5.0,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.520245681528
911,15381,,,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,24,20002.520245681528
912,30952,26.0,4.5,Sunny,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,16,20002.520245681404
913,34379,33.0,4.8,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.520245681404
914,45110,35.0,4.6,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,33,20002.520245681404
915,37929,31.0,5.0,Cloudy,Jam,1,Meal,scooter,3.0,No,Metropolitian,48,20002.520245681404
916,38299,,,,,3,Meal,motorcycle,0.0,No,Metropolitian,21,20002.520245680847
917,45371,32.0,4.9,Windy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,27,20002.520245680847
918,10393,30.0,4.4,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520245680847
919,11674,,,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,28,20002.520245680847
920,27279,24.0,4.6,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.52024544916
921,6025,23.0,4.5,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.52024544916
922,23421,37.0,4.7,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,18,20002.52024544916
923,12642,20.0,4.6,Stormy,Jam,2,Buffet,scooter,,No,Metropolitian,29,20002.52024544916
924,23372,36.0,4.3,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.52024544916
925,35810,32.0,4.7,Stormy,High,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.52024544916
926,31431,22.0,4.6,Sunny,Medium,0,Drinks,motorcycle,,No,Metropolitian,22,20002.52024544916
927,15253,39.0,4.6,Windy,Jam,0,Meal,motorcycle,2.0,No,,35,20002.52024544916
928,15153,25.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.52024544916
929,39478,30.0,4.8,Fog,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,45,20002.52024544916
930,22570,28.0,4.3,Fog,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.52024544916
931,26954,28.0,4.7,Sunny,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,13,20002.52024544916
932,538,34.0,4.9,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520245440584
933,4879,38.0,5.0,Sandstorms,High,2,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520245440584
934,7578,25.0,4.5,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,12,20002.520245440584
935,37294,26.0,4.6,Cloudy,Jam,2,Buffet,scooter,,No,Metropolitian,30,20002.520245440584
936,9169,33.0,5.0,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,48,20002.520245440584
937,19892,28.0,4.5,Sunny,Low,0,Meal,motorcycle,0.0,No,,27,20002.520245440584
938,28499,31.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520245440584
939,36698,33.0,4.7,Fog,Low,2,Drinks,motorcycle,1.0,No,Urban,19,20002.520245440584
940,22845,29.0,4.2,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.520245440584
941,38041,32.0,4.5,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,46,20002.520245440584
942,34067,36.0,4.5,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.52024543946
943,42767,35.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,40,20002.52024543946
944,42825,39.0,4.6,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Urban,24,20002.52024543946
945,25247,30.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,41,20002.52024543946
946,23947,33.0,4.9,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Urban,34,20002.52024543946
947,4399,25.0,4.6,Fog,High,0,Snack,motorcycle,0.0,No,Urban,26,20002.52024543946
948,37188,28.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.52024543946
949,17476,24.0,4.3,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,20002.52024543917
950,31835,23.0,4.0,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,34,20002.52024543917
951,34337,24.0,4.8,Stormy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,20002.52024543917
952,25276,50.0,6.0,,,3,Meal,electric_scooter,0.0,No,Metropolitian,16,20002.52024543917
953,10609,22.0,4.8,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,28,20002.52024543917
954,27283,37.0,4.7,Windy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,33,20002.52024543917
955,25655,20.0,4.6,Stormy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,17,20002.52024543917
956,2398,35.0,3.5,Stormy,Medium,2,Buffet,motorcycle,2.0,No,Metropolitian,39,20002.52024543917
957,12403,34.0,4.2,Windy,Medium,2,Buffet,scooter,0.0,No,Urban,32,20002.52024543917
958,16577,30.0,4.7,Windy,Medium,0,Drinks,motorcycle,1.0,No,,38,20002.52024543917
959,37998,50.0,6.0,,,3,Snack,electric_scooter,1.0,No,Metropolitian,25,20002.52024543917
960,37662,25.0,4.9,Stormy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,21,20002.52024543917
961,42397,35.0,4.8,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,24,20002.52024543917
962,19011,26.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,18,20002.52024543917
963,1189,32.0,4.6,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,26,20002.52024543888
964,22227,35.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,25,20002.52024543888
965,43090,38.0,4.9,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,29,20002.52024543888
966,927,20.0,4.9,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Urban,16,20002.52024543888
967,43436,27.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.52024543888
968,33540,26.0,4.6,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,18,20002.52024543888
969,35189,39.0,4.1,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,39,20002.52024543888
970,23532,35.0,4.4,Windy,High,0,Meal,motorcycle,0.0,Yes,Metropolitian,44,20002.52024543888
971,13506,20.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.52024543888
972,11667,36.0,4.6,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Urban,28,20002.52024543888
973,30319,36.0,4.5,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,35,20002.52024543888
974,19419,26.0,4.6,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.52024543888
975,0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,20002.52024543888
976,4196,31.0,4.9,Windy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.52024543789
977,29580,36.0,4.7,Stormy,Low,2,Drinks,motorcycle,,No,Metropolitian,24,20002.52024543789
978,27466,38.0,4.7,Fog,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,39,20002.52024543789
979,11832,22.0,4.4,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,35,20002.52024543789
980,41985,28.0,4.7,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.52024543789
981,12001,38.0,4.9,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,20,20002.52024543789
982,12451,20.0,4.7,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,15,20002.52024543789
983,22274,33.0,4.7,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,25,20002.52024543789
984,42413,28.0,4.9,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Urban,36,20002.52024543789
985,42983,24.0,4.6,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,41,20002.52024543789
986,24292,30.0,5.0,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,25,20002.52024543789
987,13964,24.0,4.9,Stormy,Jam,1,Snack,motorcycle,1.0,No,Urban,18,20002.52024543789
988,9902,35.0,4.2,Cloudy,Low,1,Drinks,scooter,2.0,No,Metropolitian,37,20002.52024543789
989,38982,24.0,4.6,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,15,20002.52024543766
990,23633,33.0,4.8,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,16,20002.52024543766
991,41255,30.0,4.7,Fog,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.52024543766
992,23811,20.0,4.7,Sunny,Medium,2,Drinks,motorcycle,,No,Metropolitian,13,20002.52024543766
993,43776,34.0,4.8,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,24,20002.52024543766
994,11617,36.0,5.0,Cloudy,Jam,2,Meal,scooter,2.0,Yes,Metropolitian,47,20002.52024543766
995,16666,,,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,29,20002.52024543766
996,24569,21.0,4.6,Sunny,High,2,Buffet,scooter,1.0,No,Metropolitian,19,20002.52024543766
997,44481,24.0,4.6,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.52024543766
998,35626,,,,,3,Buffet,bicycle,1.0,No,Metropolitian,16,20002.52024543766
999,32372,30.0,4.6,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,36,20002.52024543766
1000,19150,34.0,4.7,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.52024543766
1001,26747,35.0,4.8,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,21,20002.520245437547
1002,3834,24.0,4.5,Windy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,20002.520245437547
1003,41618,21.0,4.9,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,19,20002.520245437547
1004,41252,33.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520245437547
1005,4528,29.0,4.9,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,18,20002.520245437547
1006,18200,33.0,4.7,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,38,20002.520245437547
1007,31089,37.0,4.3,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,38,20002.520245437547
1008,4092,32.0,4.6,Cloudy,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,45,20002.520245437547
1009,17396,21.0,4.7,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,25,20002.520245437547
1010,14233,36.0,4.6,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520245437547
1011,15825,27.0,4.6,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,12,20002.520245437547
1012,28759,24.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,15,20002.520245435004
1013,42127,23.0,4.7,Sandstorms,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,12,20002.520245435004
1014,11921,24.0,4.5,Stormy,Medium,2,Buffet,scooter,1.0,No,Urban,26,20002.520245435004
1015,29995,23.0,4.8,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,27,20002.520245435004
1016,3226,20.0,4.3,Sunny,High,0,Drinks,motorcycle,2.0,No,Metropolitian,52,20002.520245435004
1017,37478,34.0,4.9,Fog,Jam,2,Meal,scooter,1.0,No,Urban,27,20002.520245435004
1018,12353,21.0,4.8,Stormy,Jam,1,Meal,scooter,0.0,No,Metropolitian,26,20002.520245435004
1019,6481,26.0,4.8,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,23,20002.520245435004
1020,13889,25.0,4.5,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Urban,15,20002.520245435004
1021,13608,30.0,4.3,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,46,20002.520245435004
1022,31172,32.0,4.6,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520245435004
1023,16728,21.0,4.7,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,11,20002.520245435004
1024,8841,21.0,4.8,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,20002.520245435004
1025,42265,32.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.520245434767
1026,40694,20.0,4.9,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,23,20002.520245434767
1027,10135,27.0,4.7,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,10,20002.520245434767
1028,40621,23.0,4.7,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520245434767
1029,4943,22.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,33,20002.520245434767
1030,43047,29.0,4.4,Cloudy,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,32,20002.520245434767
1031,12341,37.0,4.7,Stormy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,20002.520245434767
1032,43037,29.0,4.7,Fog,High,1,Buffet,scooter,1.0,No,Metropolitian,30,20002.520245434767
1033,36568,26.0,4.2,Sunny,High,0,Buffet,motorcycle,0.0,No,Metropolitian,43,20002.520245434767
1034,13424,28.0,4.8,Sunny,Low,2,Meal,electric_scooter,1.0,No,Urban,22,20002.520245434767
1035,14146,29.0,4.5,Sandstorms,Low,1,Snack,scooter,0.0,,Metropolitian,10,20002.520245434767
1036,30242,34.0,3.8,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,33,20002.520245434767
1037,43036,20.0,4.6,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,29,20002.520245434767
1038,13041,32.0,4.1,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520244128686
1039,11180,27.0,4.6,Sunny,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,16,20002.520244128686
1040,30729,38.0,4.7,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,28,20002.520244128686
1041,825,33.0,4.7,Sunny,Low,2,Drinks,scooter,0.0,No,Metropolitian,10,20002.520244128686
1042,8600,20.0,4.6,Windy,Low,0,Meal,motorcycle,0.0,No,Urban,19,20002.520244128686
1043,19789,27.0,3.7,Sunny,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,53,20002.520244128686
1044,34128,27.0,4.6,Sunny,Jam,0,Snack,motorcycle,1.0,No,,24,20002.520244128686
1045,36417,21.0,4.8,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520244128686
1046,8499,37.0,5.0,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,30,20002.520244128686
1047,32231,25.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,23,20002.520244128686
1048,27768,33.0,4.9,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,32,20002.520244128686
1049,37589,38.0,5.0,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,17,20002.520244128686
1050,35316,24.0,4.5,Stormy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,12,20002.52024412837
1051,17561,26.0,5.0,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,43,20002.52024412837
1052,35729,25.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,20002.52024412837
1053,7419,39.0,4.3,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,32,20002.52024412837
1054,20072,38.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Semi-Urban,47,20002.52024412837
1055,12249,39.0,4.2,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.52024412837
1056,19762,22.0,4.9,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,20002.52024412837
1057,30051,26.0,4.6,Windy,Medium,1,Drinks,scooter,1.0,No,Urban,17,20002.52024412837
1058,40797,23.0,5.0,Sandstorms,Low,1,Buffet,scooter,,No,Metropolitian,18,20002.52024412837
1059,34074,36.0,4.6,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,30,20002.520244128176
1060,12732,26.0,4.9,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,19,20002.520244128176
1061,10390,28.0,4.8,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.520244128176
1062,4890,38.0,4.6,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,21,20002.520244128176
1063,44089,22.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520244128176
1064,5640,33.0,4.8,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,27,20002.520244128176
1065,18121,21.0,4.6,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,19,20002.520244128176
1066,24862,38.0,,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520244128176
1067,5292,22.0,4.9,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,34,20002.520244128176
1068,36117,33.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,25,20002.520244128176
1069,20430,34.0,4.8,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,32,20002.520244128176
1070,29719,37.0,4.8,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,37,20002.520244128176
1071,45516,31.0,4.7,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,33,20002.520244128176
1072,36864,35.0,4.8,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,49,20002.520244126586
1073,24692,39.0,4.6,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520244126586
1074,9682,28.0,4.0,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520244126586
1075,42043,31.0,3.5,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.520244126586
1076,918,26.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,11,20002.520244126586
1077,13069,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,24,20002.520244126586
1078,25630,22.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,42,20002.520244126586
1079,40581,31.0,5.0,Fog,Low,0,Drinks,motorcycle,,No,Metropolitian,41,20002.520244126586
1080,28965,50.0,6.0,,,3,Meal,electric_scooter,0.0,No,Metropolitian,20,20002.520244126586
1081,29594,39.0,5.0,Fog,High,0,Meal,motorcycle,0.0,No,Metropolitian,31,20002.520244126586
1082,10657,39.0,5.0,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.52024412475
1083,34138,,,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Metropolitian,17,20002.52024412475
